,winner,losser,winner_name,losser_name
1032,29,69,['Gael-Monfils'],['Philipp-Kohlschreiber']
1033,29,69,['Gael-Monfils'],['Philipp-Kohlschreiber']
1034,69,29,['Philipp-Kohlschreiber'],['Gael-Monfils']
1035,29,82,['Gael-Monfils'],['Alex-Bogomolov-Jr']
1036,29,80,['Gael-Monfils'],['Viktor-Troicki']
1037,29,62,['Gael-Monfils'],['Dmitry-Tursunov']
1038,29,48,['Gael-Monfils'],['Janko-Tipsarevic']
1039,29,73,['Gael-Monfils'],['Albert-Ramos']
1040,42,29,['Gilles-Simon'],['Gael-Monfils']
1041,56,29,['Victor-Hanescu'],['Gael-Monfils']
1042,87,29,['Lukasz-Kubot'],['Gael-Monfils']
1043,29,30,['Gael-Monfils'],['David-Ferrer']
1044,29,36,['Gael-Monfils'],['Ivo-Karlovic']
1045,29,60,['Gael-Monfils'],['Robin-Haase']
1046,29,88,['Gael-Monfils'],['Robert-Kendrick']
1047,47,29,['Stanislas-Wawrinka'],['Gael-Monfils']
1048,34,30,['Tomas-Berdych'],['David-Ferrer']
1049,30,33,['David-Ferrer'],['Alexandr-Dolgopolov']
1050,30,33,['David-Ferrer'],['Alexandr-Dolgopolov']
1051,33,30,['Alexandr-Dolgopolov'],['David-Ferrer']
1052,30,41,['David-Ferrer'],['Nikolay-Davydenko']
1053,30,45,['David-Ferrer'],['Juan-Carlos-Ferrero']
1054,30,32,['David-Ferrer'],['Kei-Nishikori']
1055,30,42,['David-Ferrer'],['Gilles-Simon']
1056,42,30,['Gilles-Simon'],['David-Ferrer']
1057,30,78,['David-Ferrer'],['Igor-Andreev']
1058,30,66,['David-Ferrer'],['James-Blake']
1059,30,54,['David-Ferrer'],['Grigor-Dimitrov']
1060,30,85,['David-Ferrer'],['Pere-Riba']
1061,30,92,['David-Ferrer'],['Andreas-Haider-Maurer']
1062,30,43,['David-Ferrer'],['Nicolas-Almagro']
1063,30,43,['David-Ferrer'],['Nicolas-Almagro']
1064,30,43,['David-Ferrer'],['Nicolas-Almagro']
1065,30,72,['David-Ferrer'],['Ryan-Harrison']
1066,30,39,['David-Ferrer'],['Karol-Beck']
1067,30,31,['David-Ferrer'],['Jarkko-Nieminen']
1068,30,31,['David-Ferrer'],['Jarkko-Nieminen']
1069,31,30,['Jarkko-Nieminen'],['David-Ferrer']
1070,30,55,['David-Ferrer'],['Sergiy-Stakhovsky']
1071,30,55,['David-Ferrer'],['Sergiy-Stakhovsky']
1072,30,49,['David-Ferrer'],['Andreas-Seppi']
1073,30,61,['David-Ferrer'],['Adrian-Mannarino']
1074,30,51,['David-Ferrer'],['Carlos-Berlocq']
1075,30,56,['David-Ferrer'],['Victor-Hanescu']
1076,30,77,['David-Ferrer'],['Jurgen-Melzer']
1077,30,77,['David-Ferrer'],['Jurgen-Melzer']
1078,30,80,['David-Ferrer'],['Viktor-Troicki']
1079,30,68,['David-Ferrer'],['Igor-Kunitsyn']
1080,30,35,['David-Ferrer'],['Somdev-K-Devvarman']
1081,30,46,['David-Ferrer'],['Marcel-Granollers']
1082,36,30,['Ivo-Karlovic'],['David-Ferrer']
1083,30,100,['David-Ferrer'],['Santiago-Gonzalez']
1084,30,69,['David-Ferrer'],['Philipp-Kohlschreiber']
1085,31,90,['Jarkko-Nieminen'],['Thomaz-Bellucci']
1086,31,60,['Jarkko-Nieminen'],['Robin-Haase']
1087,31,60,['Jarkko-Nieminen'],['Robin-Haase']
1088,31,47,['Jarkko-Nieminen'],['Stanislas-Wawrinka']
1089,31,66,['Jarkko-Nieminen'],['James-Blake']
1090,82,31,['Alex-Bogomolov-Jr'],['Jarkko-Nieminen']
1091,31,67,['Jarkko-Nieminen'],['Denis-Istomin']
1092,31,67,['Jarkko-Nieminen'],['Denis-Istomin']
1093,31,68,['Jarkko-Nieminen'],['Igor-Kunitsyn']
1094,31,56,['Jarkko-Nieminen'],['Victor-Hanescu']
1095,43,31,['Nicolas-Almagro'],['Jarkko-Nieminen']
1096,43,31,['Nicolas-Almagro'],['Jarkko-Nieminen']
1097,31,33,['Jarkko-Nieminen'],['Alexandr-Dolgopolov']
1098,42,31,['Gilles-Simon'],['Jarkko-Nieminen']
1099,81,31,['Yen-Hsun-Lu'],['Jarkko-Nieminen']
1100,78,31,['Igor-Andreev'],['Jarkko-Nieminen']
1101,31,61,['Jarkko-Nieminen'],['Adrian-Mannarino']
1102,31,55,['Jarkko-Nieminen'],['Sergiy-Stakhovsky']
1103,34,31,['Tomas-Berdych'],['Jarkko-Nieminen']
1104,31,101,['Jarkko-Nieminen'],['Marc-Lopez']
1105,51,31,['Carlos-Berlocq'],['Jarkko-Nieminen']
1106,52,31,['Mikhail-Kukushkin'],['Jarkko-Nieminen']
1107,91,31,['Albert-Montanes'],['Jarkko-Nieminen']
1108,80,31,['Viktor-Troicki'],['Jarkko-Nieminen']
1109,41,31,['Nikolay-Davydenko'],['Jarkko-Nieminen']
1110,55,32,['Sergiy-Stakhovsky'],['Kei-Nishikori']
1111,55,32,['Sergiy-Stakhovsky'],['Kei-Nishikori']
1112,32,34,['Kei-Nishikori'],['Tomas-Berdych']
1113,32,49,['Kei-Nishikori'],['Andreas-Seppi']
1114,32,52,['Kei-Nishikori'],['Mikhail-Kukushkin']
1115,32,52,['Kei-Nishikori'],['Mikhail-Kukushkin']
1116,32,60,['Kei-Nishikori'],['Robin-Haase']
1117,32,33,['Kei-Nishikori'],['Alexandr-Dolgopolov']
1118,32,65,['Kei-Nishikori'],['Philipp-Petzschner']
1119,32,43,['Kei-Nishikori'],['Nicolas-Almagro']
1120,48,32,['Janko-Tipsarevic'],['Kei-Nishikori']
1121,48,32,['Janko-Tipsarevic'],['Kei-Nishikori']
1122,48,32,['Janko-Tipsarevic'],['Kei-Nishikori']
1123,48,32,['Janko-Tipsarevic'],['Kei-Nishikori']
1124,48,32,['Janko-Tipsarevic'],['Kei-Nishikori']
1125,32,102,['Kei-Nishikori'],['Rohan-Bopanna']
1126,32,67,['Kei-Nishikori'],['Denis-Istomin']
1127,71,32,['Lleyton-Hewitt'],['Kei-Nishikori']
1128,64,32,['Sam-Querrey'],['Kei-Nishikori']
1129,32,81,['Kei-Nishikori'],['Yen-Hsun-Lu']
1130,32,85,['Kei-Nishikori'],['Pere-Riba']
1131,85,32,['Pere-Riba'],['Kei-Nishikori']
1132,32,75,['Kei-Nishikori'],['Rui-Machado']
1133,32,78,['Kei-Nishikori'],['Igor-Andreev']
1134,78,32,['Igor-Andreev'],['Kei-Nishikori']
1135,32,58,['Kei-Nishikori'],['Pablo-Cuevas']
1136,32,93,['Kei-Nishikori'],['Jeremy-Chardy']
1137,32,66,['Kei-Nishikori'],['James-Blake']
1138,32,82,['Kei-Nishikori'],['Alex-Bogomolov-Jr']
1139,32,44,['Kei-Nishikori'],['Fabio-Fognini']
1140,33,69,['Alexandr-Dolgopolov'],['Philipp-Kohlschreiber']
1141,69,33,['Philipp-Kohlschreiber'],['Alexandr-Dolgopolov']
1142,46,33,['Marcel-Granollers'],['Alexandr-Dolgopolov']
1143,93,33,['Jeremy-Chardy'],['Alexandr-Dolgopolov']
1144,33,87,['Alexandr-Dolgopolov'],['Lukasz-Kubot']
1145,33,73,['Alexandr-Dolgopolov'],['Albert-Ramos']
1146,33,73,['Alexandr-Dolgopolov'],['Albert-Ramos']
1147,33,38,['Alexandr-Dolgopolov'],['Bernard-Tomic']
1148,33,38,['Alexandr-Dolgopolov'],['Bernard-Tomic']
1149,33,76,['Alexandr-Dolgopolov'],['Xavier-Malisse']
1150,33,36,['Alexandr-Dolgopolov'],['Ivo-Karlovic']
1151,33,51,['Alexandr-Dolgopolov'],['Carlos-Berlocq']
1152,33,51,['Alexandr-Dolgopolov'],['Carlos-Berlocq']
1153,51,33,['Carlos-Berlocq'],['Alexandr-Dolgopolov']
1154,33,54,['Alexandr-Dolgopolov'],['Grigor-Dimitrov']
1155,33,60,['Alexandr-Dolgopolov'],['Robin-Haase']
1156,60,33,['Robin-Haase'],['Alexandr-Dolgopolov']
1157,34,33,['Tomas-Berdych'],['Alexandr-Dolgopolov']
1158,33,45,['Alexandr-Dolgopolov'],['Juan-Carlos-Ferrero']
1159,83,33,['Fernando-Gonzalez'],['Alexandr-Dolgopolov']
1160,33,92,['Alexandr-Dolgopolov'],['Andreas-Haider-Maurer']
1161,80,33,['Viktor-Troicki'],['Alexandr-Dolgopolov']
1162,33,85,['Alexandr-Dolgopolov'],['Pere-Riba']
1163,33,56,['Alexandr-Dolgopolov'],['Victor-Hanescu']
1164,56,33,['Victor-Hanescu'],['Alexandr-Dolgopolov']
1165,33,74,['Alexandr-Dolgopolov'],['Potito-Starace']
1166,74,33,['Potito-Starace'],['Alexandr-Dolgopolov']
1167,41,33,['Nikolay-Davydenko'],['Alexandr-Dolgopolov']
1168,40,33,['Ernests-Gulbis'],['Alexandr-Dolgopolov']
1169,33,49,['Alexandr-Dolgopolov'],['Andreas-Seppi']
1170,33,47,['Alexandr-Dolgopolov'],['Stanislas-Wawrinka']
1171,33,86,['Alexandr-Dolgopolov'],['Ruben-Ramirez-Hidalgo']
1172,43,33,['Nicolas-Almagro'],['Alexandr-Dolgopolov']
1173,33,52,['Alexandr-Dolgopolov'],['Mikhail-Kukushkin']
1174,33,64,['Alexandr-Dolgopolov'],['Sam-Querrey']
1175,42,33,['Gilles-Simon'],['Alexandr-Dolgopolov']
1176,33,78,['Alexandr-Dolgopolov'],['Igor-Andreev']
1177,34,48,['Tomas-Berdych'],['Janko-Tipsarevic']
1178,34,48,['Tomas-Berdych'],['Janko-Tipsarevic']
1179,48,34,['Janko-Tipsarevic'],['Tomas-Berdych']
1180,48,34,['Janko-Tipsarevic'],['Tomas-Berdych']
1181,34,77,['Tomas-Berdych'],['Jurgen-Melzer']
1182,34,69,['Tomas-Berdych'],['Philipp-Kohlschreiber']
1183,34,69,['Tomas-Berdych'],['Philipp-Kohlschreiber']
1184,34,44,['Tomas-Berdych'],['Fabio-Fognini']
1185,34,43,['Tomas-Berdych'],['Nicolas-Almagro']
1186,43,34,['Nicolas-Almagro'],['Tomas-Berdych']
1187,34,36,['Tomas-Berdych'],['Ivo-Karlovic']
1188,34,82,['Tomas-Berdych'],['Alex-Bogomolov-Jr']
1189,34,80,['Tomas-Berdych'],['Viktor-Troicki']
1190,34,65,['Tomas-Berdych'],['Philipp-Petzschner']
1191,65,34,['Philipp-Petzschner'],['Tomas-Berdych']
1192,34,61,['Tomas-Berdych'],['Adrian-Mannarino']
1193,34,40,['Tomas-Berdych'],['Ernests-Gulbis']
1194,34,46,['Tomas-Berdych'],['Marcel-Granollers']
1195,34,90,['Tomas-Berdych'],['Thomaz-Bellucci']
1196,90,34,['Thomaz-Bellucci'],['Tomas-Berdych']
1197,34,37,['Tomas-Berdych'],['Olivier-Rochus']
1198,34,86,['Tomas-Berdych'],['Ruben-Ramirez-Hidalgo']
1199,34,51,['Tomas-Berdych'],['Carlos-Berlocq']
1200,34,87,['Tomas-Berdych'],['Lukasz-Kubot']
1201,47,34,['Stanislas-Wawrinka'],['Tomas-Berdych']
1202,47,34,['Stanislas-Wawrinka'],['Tomas-Berdych']
1203,34,52,['Tomas-Berdych'],['Mikhail-Kukushkin']
1204,34,93,['Tomas-Berdych'],['Jeremy-Chardy']
1205,34,41,['Tomas-Berdych'],['Nikolay-Davydenko']
1206,34,62,['Tomas-Berdych'],['Dmitry-Tursunov']
1207,35,39,['Somdev-K-Devvarman'],['Karol-Beck']
1208,53,35,['Mikhail-Youzhny'],['Somdev-K-Devvarman']
1209,35,61,['Somdev-K-Devvarman'],['Adrian-Mannarino']
1210,61,35,['Adrian-Mannarino'],['Somdev-K-Devvarman']
1211,35,52,['Somdev-K-Devvarman'],['Mikhail-Kukushkin']
1212,35,48,['Somdev-K-Devvarman'],['Janko-Tipsarevic']
1213,48,35,['Janko-Tipsarevic'],['Somdev-K-Devvarman']
1214,35,88,['Somdev-K-Devvarman'],['Robert-Kendrick']
1215,35,74,['Somdev-K-Devvarman'],['Potito-Starace']
1216,35,76,['Somdev-K-Devvarman'],['Xavier-Malisse']
1217,80,35,['Viktor-Troicki'],['Somdev-K-Devvarman']
1218,63,35,['Kevin-Anderson'],['Somdev-K-Devvarman']
1219,70,35,['Tommy-Robredo'],['Somdev-K-Devvarman']
1220,36,64,['Ivo-Karlovic'],['Sam-Querrey']
1221,36,64,['Ivo-Karlovic'],['Sam-Querrey']
1222,36,66,['Ivo-Karlovic'],['James-Blake']
1223,36,83,['Ivo-Karlovic'],['Fernando-Gonzalez']
1224,43,36,['Nicolas-Almagro'],['Ivo-Karlovic']
1225,36,65,['Ivo-Karlovic'],['Philipp-Petzschner']
1226,65,36,['Philipp-Petzschner'],['Ivo-Karlovic']
1227,36,48,['Ivo-Karlovic'],['Janko-Tipsarevic']
1228,48,36,['Janko-Tipsarevic'],['Ivo-Karlovic']
1229,87,36,['Lukasz-Kubot'],['Ivo-Karlovic']
1230,63,36,['Kevin-Anderson'],['Ivo-Karlovic']
1231,36,68,['Ivo-Karlovic'],['Igor-Kunitsyn']
1232,36,42,['Ivo-Karlovic'],['Gilles-Simon']
1233,36,91,['Ivo-Karlovic'],['Albert-Montanes']
1234,36,95,['Ivo-Karlovic'],['Lukas-Rosol']
1235,36,69,['Ivo-Karlovic'],['Philipp-Kohlschreiber']
1236,41,36,['Nikolay-Davydenko'],['Ivo-Karlovic']
1237,48,37,['Janko-Tipsarevic'],['Olivier-Rochus']
1238,66,37,['James-Blake'],['Olivier-Rochus']
1239,77,37,['Jurgen-Melzer'],['Olivier-Rochus']
1240,78,37,['Igor-Andreev'],['Olivier-Rochus']
1241,37,55,['Olivier-Rochus'],['Sergiy-Stakhovsky']
1242,44,37,['Fabio-Fognini'],['Olivier-Rochus']
1243,37,71,['Olivier-Rochus'],['Lleyton-Hewitt']
1244,37,51,['Olivier-Rochus'],['Carlos-Berlocq']
1245,49,37,['Andreas-Seppi'],['Olivier-Rochus']
1246,67,37,['Denis-Istomin'],['Olivier-Rochus']
1247,75,37,['Rui-Machado'],['Olivier-Rochus']
1248,63,37,['Kevin-Anderson'],['Olivier-Rochus']
1249,37,79,['Olivier-Rochus'],['Juan-Ignacio-Chela']
1250,37,53,['Olivier-Rochus'],['Mikhail-Youzhny']
1251,37,86,['Olivier-Rochus'],['Ruben-Ramirez-Hidalgo']
1252,37,95,['Olivier-Rochus'],['Lukas-Rosol']
1253,38,63,['Bernard-Tomic'],['Kevin-Anderson']
1254,38,80,['Bernard-Tomic'],['Viktor-Troicki']
1255,80,38,['Viktor-Troicki'],['Bernard-Tomic']
1256,38,47,['Bernard-Tomic'],['Stanislas-Wawrinka']
1257,38,78,['Bernard-Tomic'],['Igor-Andreev']
1258,78,38,['Igor-Andreev'],['Bernard-Tomic']
1259,38,81,['Bernard-Tomic'],['Yen-Hsun-Lu']
1260,38,41,['Bernard-Tomic'],['Nikolay-Davydenko']
1261,38,76,['Bernard-Tomic'],['Xavier-Malisse']
1262,51,38,['Carlos-Berlocq'],['Bernard-Tomic']
1263,38,75,['Bernard-Tomic'],['Rui-Machado']
1264,38,102,['Bernard-Tomic'],['Rohan-Bopanna']
1265,82,38,['Alex-Bogomolov-Jr'],['Bernard-Tomic']
1266,38,93,['Bernard-Tomic'],['Jeremy-Chardy']
1267,38,68,['Bernard-Tomic'],['Igor-Kunitsyn']
1268,38,84,['Bernard-Tomic'],['Michael-Berrer']
1269,38,87,['Bernard-Tomic'],['Lukasz-Kubot']
1270,96,39,['Rajeev-Ram'],['Karol-Beck']
1271,39,51,['Karol-Beck'],['Carlos-Berlocq']
